input_decimal,input_hex,fpga_result_hex,latency_seconds,latency_ms
453,0x01C5,0x1548,0.007976,7.976
454,0x01C6,0x154E,0.007863,7.863
455,0x01C7,0x1554,0.007041,7.041
456,0x01C8,0x155A,0.007943,7.943
457,0x01C9,0x1560,0.007034,7.034
458,0x01CA,0x1566,0.008045,8.045
459,0x01CB,0x156C,0.007834,7.834
460,0x01CC,0x1572,0.007055,7.055
461,0x01CD,0x1578,0.007906,7.906
462,0x01CE,0x157E,0.007128,7.128
463,0x01CF,0x1584,0.007995,7.995
464,0x01D0,0x158A,0.007995,7.995
465,0x01D1,0x1590,0.007958,7.958
466,0x01D2,0x1596,0.008019,8.019
467,0x01D3,0x159C,0.007817,7.817
468,0x01D4,0x15A2,0.007185,7.185
469,0x01D5,0x15A8,0.008036,8.036
470,0x01D6,0x15AD,0.008024,8.024
471,0x01D7,0x15B3,0.007693,7.693
472,0x01D8,0x15B9,0.007216,7.216
473,0x01D9,0x15BF,0.007998,7.998
474,0x01DA,0x15C5,0.007920,7.920
475,0x01DB,0x15CB,0.007970,7.970
476,0x01DC,0x15D1,0.007854,7.854
477,0x01DD,0x15D7,0.007119,7.119
478,0x01DE,0x15DC,0.008004,8.004
479,0x01DF,0x15E2,0.008029,8.029
480,0x01E0,0x15E8,0.007980,7.980
481,0x01E1,0x15EE,0.007982,7.982
482,0x01E2,0x15F4,0.008000,8.000
483,0x01E3,0x15FA,0.007634,7.634
484,0x01E4,0x1600,0.008105,8.105
485,0x01E5,0x1605,0.007945,7.945
486,0x01E6,0x160B,0.007848,7.848
487,0x01E7,0x1611,0.007007,7.007
488,0x01E8,0x1617,0.007064,7.064
489,0x01E9,0x161D,0.007904,7.904
490,0x01EA,0x1622,0.006995,6.995
491,0x01EB,0x1628,0.006952,6.952
492,0x01EC,0x162E,0.007209,7.209
493,0x01ED,0x1634,0.007952,7.952
494,0x01EE,0x1639,0.007840,7.840
495,0x01EF,0x163F,0.007074,7.074
496,0x01F0,0x1645,0.007875,7.875
497,0x01F1,0x164B,0.007187,7.187
498,0x01F2,0x1650,0.007940,7.940
499,0x01F3,0x1656,0.007870,7.870
500,0x01F4,0x165C,0.007050,7.050
501,0x01F5,0x1662,0.007881,7.881
502,0x01F6,0x1667,0.007076,7.076
503,0x01F7,0x166D,0.007910,7.910
504,0x01F8,0x1673,0.006985,6.985
505,0x01F9,0x1678,0.007035,7.035
506,0x01FA,0x167E,0.007038,7.038
507,0x01FB,0x1684,0.007894,7.894
508,0x01FC,0x1689,0.007044,7.044
509,0x01FD,0x168F,0.007039,7.039
510,0x01FE,0x1695,0.007878,7.878
511,0x01FF,0x169A,0.007064,7.064
512,0x0200,0x16A0,0.007912,7.912
513,0x0201,0x16A5,0.007004,7.004
514,0x0202,0x16AB,0.007046,7.046
515,0x0203,0x16B0,0.007883,7.883
516,0x0204,0x16B6,0.007011,7.011
517,0x0205,0x16BC,0.007036,7.036
518,0x0206,0x16C1,0.007906,7.906
519,0x0207,0x16C7,0.007018,7.018
520,0x0208,0x16CD,0.007950,7.950
521,0x0209,0x16D2,0.007055,7.055
522,0x020A,0x16D8,0.007909,7.909
523,0x020B,0x16DD,0.007000,7.000
524,0x020C,0x16E3,0.006980,6.980
525,0x020D,0x16E9,0.007021,7.021
526,0x020E,0x16EE,0.007031,7.031
527,0x020F,0x16F4,0.007871,7.871
528,0x0210,0x16F9,0.006982,6.982
529,0x0211,0x16FF,0.007009,7.009
530,0x0212,0x1704,0.006981,6.981
531,0x0213,0x170A,0.007020,7.020
532,0x0214,0x1710,0.007045,7.045
533,0x0215,0x1715,0.007882,7.882
534,0x0216,0x171B,0.006990,6.990
535,0x0217,0x1720,0.006999,6.999
536,0x0218,0x1726,0.006987,6.987
537,0x0219,0x172B,0.007011,7.011
538,0x021A,0x1731,0.006976,6.976
539,0x021B,0x1736,0.007001,7.001
540,0x021C,0x173C,0.006996,6.996
541,0x021D,0x1741,0.006996,6.996
542,0x021E,0x1747,0.006992,6.992
543,0x021F,0x174C,0.007008,7.008
544,0x0220,0x1752,0.006991,6.991
545,0x0221,0x1757,0.006979,6.979
546,0x0222,0x175D,0.007025,7.025
547,0x0223,0x1762,0.007077,7.077
548,0x0224,0x1768,0.007872,7.872
549,0x0225,0x176D,0.007013,7.013
550,0x0226,0x1773,0.007046,7.046
551,0x0227,0x1778,0.007888,7.888
552,0x0228,0x177D,0.007036,7.036
553,0x0229,0x1783,0.007041,7.041
554,0x022A,0x1788,0.007903,7.903
555,0x022B,0x178E,0.007059,7.059
556,0x022C,0x1793,0.007909,7.909
557,0x022D,0x1799,0.007044,7.044
558,0x022E,0x179E,0.007878,7.878
559,0x022F,0x17A4,0.007029,7.029
560,0x0230,0x17A9,0.007925,7.925
561,0x0231,0x17AE,0.006981,6.981
562,0x0232,0x17B4,0.006989,6.989
563,0x0233,0x17B9,0.007011,7.011
564,0x0234,0x17BF,0.006961,6.961
565,0x0235,0x17C4,0.007022,7.022
566,0x0236,0x17C9,0.006959,6.959
567,0x0237,0x17CF,0.006990,6.990
568,0x0238,0x17D4,0.007001,7.001
569,0x0239,0x17D9,0.006983,6.983
570,0x023A,0x17DF,0.007015,7.015
571,0x023B,0x17E4,0.007070,7.070
572,0x023C,0x17E9,0.007899,7.899
573,0x023D,0x17EF,0.007020,7.020
574,0x023E,0x17F4,0.007041,7.041
575,0x023F,0x17FA,0.007892,7.892
576,0x0240,0x17FF,0.007045,7.045
577,0x0241,0x1804,0.007051,7.051
578,0x0242,0x180A,0.007902,7.902
579,0x0243,0x180F,0.007058,7.058
580,0x0244,0x1814,0.007908,7.908
581,0x0245,0x1819,0.007009,7.009
582,0x0246,0x181F,0.007904,7.904
583,0x0247,0x1824,0.007071,7.071
584,0x0248,0x1829,0.007912,7.912
585,0x0249,0x182F,0.007032,7.032
586,0x024A,0x1834,0.007942,7.942
587,0x024B,0x1839,0.007072,7.072
