Input (Dec),Expected (Float),FPGA (Q8.8),Abs Error,Error (LSB),Status
10767,103.7642,103.7500,0.014156,3.62 LSB,FAIL
10768,103.7690,103.7578,0.011162,2.86 LSB,FAIL
10769,103.7738,103.7617,0.012074,3.09 LSB,FAIL
10770,103.7786,103.7656,0.012986,3.32 LSB,FAIL
10771,103.7834,103.7695,0.013897,3.56 LSB,FAIL
10772,103.7882,103.7734,0.014808,3.79 LSB,FAIL
10773,103.7931,103.7812,0.011813,3.02 LSB,FAIL
10774,103.7979,103.7852,0.012724,3.26 LSB,FAIL
10775,103.8027,103.7891,0.013635,3.49 LSB,FAIL
10776,103.8075,103.7930,0.014545,3.72 LSB,FAIL
10777,103.8123,103.8008,0.011549,2.96 LSB,FAIL
10778,103.8171,103.8047,0.012459,3.19 LSB,FAIL
10779,103.8220,103.8086,0.013369,3.42 LSB,FAIL
10780,103.8268,103.8125,0.014279,3.66 LSB,FAIL
10781,103.8316,103.8203,0.011282,2.89 LSB,FAIL
10782,103.8364,103.8242,0.012191,3.12 LSB,FAIL
10783,103.8412,103.8281,0.013100,3.35 LSB,FAIL
10784,103.8460,103.8320,0.014009,3.59 LSB,FAIL
10785,103.8509,103.8359,0.014917,3.82 LSB,FAIL
10786,103.8557,103.8438,0.011919,3.05 LSB,FAIL
10787,103.8605,103.8477,0.012827,3.28 LSB,FAIL
10788,103.8653,103.8516,0.013735,3.52 LSB,FAIL
10789,103.8701,103.8555,0.014642,3.75 LSB,FAIL
10790,103.8749,103.8633,0.011644,2.98 LSB,FAIL
10791,103.8797,103.8672,0.012551,3.21 LSB,FAIL
10792,103.8846,103.8711,0.013458,3.45 LSB,FAIL
10793,103.8894,103.8750,0.014364,3.68 LSB,FAIL
10794,103.8942,103.8828,0.011364,2.91 LSB,FAIL
10795,103.8990,103.8867,0.012271,3.14 LSB,FAIL
10796,103.9038,103.8906,0.013177,3.37 LSB,FAIL
10797,103.9086,103.8945,0.014082,3.61 LSB,FAIL
10798,103.9134,103.8984,0.014988,3.84 LSB,FAIL
10799,103.9182,103.9062,0.011987,3.07 LSB,FAIL
10800,103.9230,103.9102,0.012892,3.30 LSB,FAIL
10801,103.9279,103.9141,0.013797,3.53 LSB,FAIL
10802,103.9327,103.9180,0.014702,3.76 LSB,FAIL
10803,103.9375,103.9258,0.011700,3.00 LSB,FAIL
10804,103.9423,103.9297,0.012604,3.23 LSB,FAIL
10805,103.9471,103.9336,0.013508,3.46 LSB,FAIL
10806,103.9519,103.9375,0.014412,3.69 LSB,FAIL
10807,103.9567,103.9453,0.011409,2.92 LSB,FAIL
10808,103.9615,103.9492,0.012313,3.15 LSB,FAIL
10809,103.9663,103.9531,0.013216,3.38 LSB,FAIL
10810,103.9711,103.9570,0.014119,3.61 LSB,FAIL
10811,103.9760,103.9648,0.011115,2.85 LSB,FAIL
10812,103.9808,103.9688,0.012017,3.08 LSB,FAIL
10813,103.9856,103.9727,0.012920,3.31 LSB,FAIL
10814,103.9904,103.9766,0.013822,3.54 LSB,FAIL
10815,103.9952,103.9805,0.014723,3.77 LSB,FAIL
10816,104.0000,103.9883,0.011719,3.00 LSB,FAIL
10817,104.0048,103.9922,0.012620,3.23 LSB,FAIL
10818,104.0096,103.9961,0.013521,3.46 LSB,FAIL
10819,104.0144,104.0000,0.014422,3.69 LSB,FAIL
10820,104.0192,104.0078,0.011416,2.92 LSB,FAIL
10821,104.0240,104.0117,0.012317,3.15 LSB,FAIL
10822,104.0288,104.0156,0.013217,3.38 LSB,FAIL
10823,104.0336,104.0195,0.014117,3.61 LSB,FAIL
10824,104.0385,104.0234,0.015017,3.84 LSB,FAIL
10825,104.0433,104.0312,0.012010,3.07 LSB,FAIL
10826,104.0481,104.0352,0.012910,3.30 LSB,FAIL
10827,104.0529,104.0391,0.013809,3.54 LSB,FAIL
10828,104.0577,104.0430,0.014708,3.77 LSB,FAIL
10829,104.0625,104.0508,0.011700,3.00 LSB,FAIL
10830,104.0673,104.0547,0.012598,3.23 LSB,FAIL
10831,104.0721,104.0586,0.013497,3.46 LSB,FAIL
10832,104.0769,104.0625,0.014395,3.69 LSB,FAIL
10833,104.0817,104.0703,0.011386,2.91 LSB,FAIL
10834,104.0865,104.0742,0.012284,3.14 LSB,FAIL
10835,104.0913,104.0781,0.013181,3.37 LSB,FAIL
